Fecha,Ventas (€),Inversión Marketing (€),Región
2023-01-01,152000,7800,Norte
2023-01-02,148000,8100,Sur
2023-01-03,161000,8500,Este
2023-01-04,135000,7200,Oeste
2023-01-05,155000,8000,Norte
2023-01-06,149000,7900,Sur
2023-01-07,163000,8600,Este
2023-01-08,138000,7300,Oeste
2023-01-09,158000,8200,Norte
2023-01-10,150000,8000,Sur
2023-01-11,165000,8700,Este
2023-01-12,132000,7000,Oeste
2023-01-13,153000,7900,Norte
2023-01-14,147000,7800,Sur
2023-01-15,160000,8400,Este
2023-01-16,136000,7100,Oeste
2023-01-17,156000,8100,Norte
2023-01-18,151000,8000,Sur
2023-01-19,164000,8600,Este
2023-01-20,137000,7200,Oeste
2023-01-21,159000,8300,Norte
2023-01-22,149000,7900,Sur
2023-01-23,162000,8500,Este
2023-01-24,134000,7100,Oeste
2023-01-25,157000,8000,Norte
2023-01-26,148000,7700,Sur
2023-01-27,160000,8300,Este
2023-01-28,133000,7000,Oeste
2023-01-29,154000,7900,Norte
2023-01-30,146000,7600,Sur
2023-01-31,161000,8400,Este
2023-02-01,139000,7400,Oeste
2023-02-02,152000,7800,Norte
2023-02-03,148000,8100,Sur
2023-02-04,161000,8500,Este
2023-02-05,135000,7200,Oeste
2023-02-06,155000,8000,Norte
2023-02-07,149000,7900,Sur
2023-02-08,163000,8600,Este
2023-02-09,138000,7300,Oeste
2023-02-10,158000,8200,Norte
2023-02-11,150000,8000,Sur
2023-02-12,165000,8700,Este
2023-02-13,132000,7000,Oeste
2023-02-14,153000,7900,Norte
2023-02-15,147000,7800,Sur
2023-02-16,160000,8400,Este
2023-02-17,136000,7100,Oeste
2023-02-18,156000,8100,Norte
2023-02-19,151000,8000,Sur
2023-02-20,164000,8600,Este
2023-02-21,137000,7200,Oeste
2023-02-22,159000,8300,Norte
2023-02-23,149000,7900,Sur
2023-02-24,162000,8500,Este
2023-02-25,134000,7100,Oeste
2023-02-26,157000,8000,Norte
2023-02-27,148000,7700,Sur
2023-02-28,160000,8300,Este
2023-03-01,133000,7000,Oeste
2023-03-02,154000,7900,Norte
2023-03-03,146000,7600,Sur
2023-03-04,161000,8400,Este
2023-03-05,139000,7400,Oeste
2023-03-06,152000,7800,Norte
2023-03-07,148000,8100,Sur
2023-03-08,161000,8500,Este
2023-03-09,135000,7200,Oeste
2023-03-10,155000,8000,Norte
2023-03-11,149000,7900,Sur
2023-03-12,163000,8600,Este
2023-03-13,138000,7300,Oeste
2023-03-14,158000,8200,Norte
2023-03-15,150000,8000,Sur
2023-03-16,165000,8700,Este
2023-03-17,132000,7000,Oeste
2023-03-18,153000,7900,Norte
2023-03-19,147000,7800,Sur
2023-03-20,160000,8400,Este
2023-03-21,136000,7100,Oeste
2023-03-22,156000,8100,Norte
2023-03-23,151000,8000,Sur
2023-03-24,164000,8600,Este
2023-03-25,137000,7200,Oeste
2023-03-26,159000,8300,Norte
2023-03-27,149000,7900,Sur
2023-03-28,162000,8500,Este
2023-03-29,134000,7100,Oeste
2023-03-30,157000,8000,Norte
2023-03-31,148000,7700,Sur
2023-04-01,160000,8300,Este
2023-04-02,133000,7000,Oeste
2023-04-03,154000,7900,Norte
2023-04-04,146000,7600,Sur
2023-04-05,161000,8400,Este
2023-04-06,139000,7400,Oeste
2023-04-07,152000,7800,Norte
2023-04-08,148000,8100,Sur
2023-04-09,161000,8500,Este
2023-04-10,135000,7200,Oeste
2023-04-11,155000,8000,Norte
2023-04-12,149000,7900,Sur
2023-04-13,163000,8600,Este
2023-04-14,138000,7300,Oeste
2023-04-15,158000,8200,Norte
2023-04-16,150000,8000,Sur
2023-04-17,165000,8700,Este
2023-04-18,132000,7000,Oeste
2023-04-19,153000,7900,Norte
2023-04-20,147000,7800,Sur
2023-04-21,160000,8400,Este
2023-04-22,136000,7100,Oeste
2023-04-23,156000,8100,Norte
2023-04-24,151000,8000,Sur
2023-04-25,164000,8600,Este
2023-04-26,137000,7200,Oeste
2023-04-27,159000,8300,Norte
2023-04-28,149000,7900,Sur
