Mes,Tasa de Cambio BCV (Bs./USD) (Simulada),Precio Harina P.A.N. (1kg) en USD (Simulada),Precio Harina P.A.N. (1kg) en Bs. (Calculado),Consumo Estimado (Toneladas Métricas) (Simulada)
Oct-24,36,$1.20,Bs. 43.20,"45,000"
Nov-24,36.5,$1.20,Bs. 43.80,"46,000"
Dic-24,37,$1.20,Bs. 44.40,"48,000"
Ene-25,37.5,$1.18,Bs. 44.25,"47,500"
Feb-25,38,$1.18,Bs. 44.84,"46,500"
Mar-25,38.5,$1.18,Bs. 45.43,"48,500"
Abr-25,39,$1.15,Bs. 44.85,"49,000"
May-25,39.5,$1.15,Bs. 45.42,"50,000"
Jun-25,40,$1.15,Bs. 46.00,"51,000"
Jul-25,40.5,$1.13,Bs. 45.77,"51,500"
Ago-25,41,$1.13,Bs. 46.33,"52,000"
Sep-25,41.5,$1.13,Bs. 46.89,"52,500"
