Fecha,Ventas (€),Inversión Marketing (€),Región
2022-01-01,155000,7800,Norte
2022-01-02,148000,7500,Centro
2022-01-03,162000,8100,Sur
2022-01-04,140000,7000,Este
2022-01-05,150000,7700,Norte
2022-01-06,158000,7900,Centro
2022-01-07,165000,8200,Sur
2022-01-08,145000,7200,Este
2022-01-09,153000,7600,Norte
2022-01-10,160000,8000,Centro
2022-01-11,168000,8300,Sur
2022-01-12,142000,7100,Este
2022-01-13,157000,7800,Norte
2022-01-14,152000,7600,Centro
2022-01-15,163000,8100,Sur
2022-01-16,147000,7300,Este
2022-01-17,159000,7900,Norte
2022-01-18,161000,8000,Centro
2022-01-19,166000,8200,Sur
2022-01-20,143000,7100,Este
2022-01-21,156000,7800,Norte
2022-01-22,149000,7500,Centro
2022-01-23,164000,8100,Sur
2022-01-24,141000,7000,Este
2022-01-25,154000,7700,Norte
2022-01-26,158000,7900,Centro
2022-01-27,167000,8300,Sur
2022-01-28,146000,7200,Este
2022-01-29,151000,7600,Norte
2022-01-30,155000,7800,Centro
2022-01-31,162000,8100,Sur
2022-02-01,140000,7000,Este
2022-02-02,150000,7700,Norte
2022-02-03,158000,7900,Centro
2022-02-04,165000,8200,Sur
2022-02-05,145000,7200,Este
2022-02-06,153000,7600,Norte
2022-02-07,160000,8000,Centro
2022-02-08,168000,8300,Sur
2022-02-09,142000,7100,Este
2022-02-10,157000,7800,Norte
2022-02-11,152000,7600,Centro
2022-02-12,163000,8100,Sur
2022-02-13,147000,7300,Este
2022-02-14,159000,7900,Norte
2022-02-15,161000,8000,Centro
2022-02-16,166000,8200,Sur
2022-02-17,143000,7100,Este
2022-02-18,156000,7800,Norte
2022-02-19,149000,7500,Centro
2022-02-20,164000,8100,Sur
2022-02-21,141000,7000,Este
2022-02-22,154000,7700,Norte
2022-02-23,158000,7900,Centro
2022-02-24,167000,8300,Sur
2022-02-25,146000,7200,Este
2022-02-26,151000,7600,Norte
2022-02-27,155000,7800,Centro
2022-02-28,162000,8100,Sur
2022-03-01,140000,7000,Este
2022-03-02,150000,7700,Norte
2022-03-03,158000,7900,Centro
2022-03-04,165000,8200,Sur
2022-03-05,145000,7200,Este
2022-03-06,153000,7600,Norte
2022-03-07,160000,8000,Centro
2022-03-08,168000,8300,Sur
2022-03-09,142000,7100,Este
2022-03-10,157000,7800,Norte
2022-03-11,152000,7600,Centro
2022-03-12,163000,8100,Sur
2022-03-13,147000,7300,Este
2022-03-14,159000,7900,Norte
2022-03-15,161000,8000,Centro
2022-03-16,166000,8200,Sur
2022-03-17,143000,7100,Este
2022-03-18,156000,7800,Norte
2022-03-19,149000,7500,Centro
2022-03-20,164000,8100,Sur
2022-03-21,141000,7000,Este
2022-03-22,154000,7700,Norte
2022-03-23,158000,7900,Centro
2022-03-24,167000,8300,Sur
2022-03-25,146000,7200,Este
2022-03-26,151000,7600,Norte
2022-03-27,155000,7800,Centro
2022-03-28,162000,8100,Sur
2022-03-29,140000,7000,Este
2022-03-30,150000,7700,Norte
2022-03-31,158000,7900,Centro
2022-04-01,165000,8200,Sur
2022-04-02,145000,7200,Este
2022-04-03,153000,7600,Norte
2022-04-04,160000,8000,Centro
2022-04-05,168000,8300,Sur
2022-04-06,142000,7100,Este
2022-04-07,157000,7800,Norte
2022-04-08,152000,7600,Centro
2022-04-09,163000,8100,Sur
2022-04-10,147000,7300,Este
2022-04-11,159000,7900,Norte
2022-04-12,161000,8000,Centro
2022-04-13,166000,8200,Sur
2022-04-14,143000,7100,Este
2022-04-15,156000,7800,Norte
2022-04-16,149000,7500,Centro
2022-04-17,164000,8100,Sur
2022-04-18,141000,7000,Este
2022-04-19,154000,7700,Norte
2022-04-20,158000,7900,Centro
2022-04-21,167000,8300,Sur
2022-04-22,146000,7200,Este
2022-04-23,151000,7600,Norte
2022-04-24,155000,7800,Centro
